Year,Code,Name,Recreation Visits,"Visitor
Spending ($)",Jobs Supported,Labor Income ($),Value Added ($),"Economic
Output ($)"
2021,PEFO,Petrified Forest National Park,590334.00,42363.00,503.00,16190.00,27289.00,48480.00
2021,PINN,Pinnacles National Park,348857.00,24259.00,252.00,12439.00,19214.00,29895.00
2021,ROMO,Rocky Mountain National Park,4434848.00,323329.00,4421.00,183477.00,302571.00,512723.00
2021,SAGU,Saguaro National Park,1079786.00,77419.00,1034.00,40396.00,68323.00,117279.00
2021,SEKI,Sequoia & Kings Canyon National Parks,1622466.00,139873.00,1722.00,64414.00,103282.00,174016.00
2021,SHEN,Shenandoah National Park,1592312.00,112718.00,1349.00,60105.00,98200.00,157384.00
2021,THRO,Theodore Roosevelt National Park,796085.00,56160.00,675.00,20141.00,34221.00,62153.00
2021,VIIS,Virgin Islands National Park,323999.00,49346.00,565.00,24367.00,45975.00,69625.00
2021,VOYA,Voyageurs National Park,243042.00,21583.00,299.00,8521.00,14553.00,27030.00
2021,WHSA,White Sands National Park (formerly White Sands National Monument),782469.00,46418.00,630.00,17717.00,28611.00,55724.00
2021,WICA,Wind Cave National Park,709001.00,60708.00,858.00,26758.00,47401.00,86463.00
2021,WRST,Wrangell - St. Elias National Park & Preserve,50189.00,81772.00,1152.00,44793.00,71453.00,122374.00
2021,YELL,Yellowstone National Park,4860242.00,630282.00,8736.00,294034.00,456424.00,834335.00
2021,YOSE,Yosemite National Park,3287595.00,437281.00,5595.00,214391.00,351323.00,602564.00
2021,ZION,Zion National Park,5039835.00,667486.00,10743.00,275750.00,486845.00,947380.00
2020,ACAD,Acadia National Park,2669034.00,303734.00,4368.00,134853.00,240528.00,411030.00
2020,ARCH,Arches National Park,1238083.00,151684.00,2323.00,61839.00,109729.00,199487.00
2020,BADL,Badlands National Park,916932.00,60511.00,847.00,23940.00,41344.00,76026.00
2020,BIBE,Big Bend National Park,393907.00,33539.00,486.00,10916.00,20053.00,37678.00
2020,BISC,Biscayne National Park,402770.00,26489.00,347.00,13169.00,22824.00,37147.00
2020,BLCA,Black Canyon Of The Gunnison National Park,341619.00,21782.00,271.00,9279.00,16230.00,26811.00
2020,BRCA,Bryce Canyon National Park,1464655.00,125173.00,1810.00,47009.00,83256.00,151322.00
2020,CANY,Canyonlands National Park,493914.00,30975.00,436.00,11602.00,20276.00,36993.00
2020,CARE,Capitol Reef National Park,981038.00,72429.00,954.00,25289.00,45286.00,82231.00
2020,CAVE,Carlsbad Caverns National Park,183835.00,12100.00,162.00,4413.00,7464.00,13639.00
2020,CHIS,Channel Islands National Park,167290.00,9816.00,122.00,5348.00,8686.00,13679.00
2020,CONG,Congaree National Park,119306.00,6186.00,77.00,2387.00,4259.00,7321.00
2020,CRLA,Crater Lake National Park,670501.00,58562.00,843.00,27714.00,45622.00,78495.00
2020,CUVA,Cuyahoga Valley National Park,2755628.00,48457.00,709.00,24396.00,40703.00,70207.00
2020,DEVA,Death Valley National Park,820023.00,68752.00,845.00,33079.00,55548.00,88425.00
2020,DENA,Denali National Park & Preserve,54849.00,57713.00,703.00,27170.00,51229.00,82511.00
2020,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),48542.00,2981.00,34.00,1206.00,2080.00,3362.00
2020,EVER,Everglades National Park,702319.00,69129.00,944.00,36046.00,63416.00,103057.00
2020,GAAR,Gates of the Arctic National Park & Preserve,2872.00,4417.00,54.00,2078.00,3890.00,6292.00
2020,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),486021.00,49611.00,831.00,26614.00,44498.00,78336.00
2020,GLBA,Glacier Bay National Park & Preserve,5748.00,2061.00,26.00,1045.00,1755.00,3161.00
2020,GLAC,Glacier National Park,1698865.00,203591.00,3082.00,96935.00,159886.00,287295.00
2020,GOSP,Golden Spike National Park (Historic Site),53106.00,3104.00,47.00,1465.00,2474.00,4378.00
2020,GRCA,Grand Canyon National Park,2897098.00,433426.00,5730.00,172989.00,309269.00,530327.00
2020,GRTE,Grand Teton National Park,3289638.00,598240.00,8176.00,260898.00,439161.00,754041.00
2020,GRBA,Great Basin National Park,120247.00,7121.00,99.00,2199.00,3842.00,7358.00
2020,GRSA,Great Sand Dunes National Park & Preserve,461532.00,29512.00,400.00,11652.00,20452.00,35949.00
2020,GRSM,Great Smoky Mountains National Park,12095721.00,1024024.00,14707.00,468985.00,801570.00,1387955.00
2020,GUMO,Guadalupe Mountains National Park,151256.00,9673.00,135.00,3653.00,6379.00,11690.00
2020,HALE,Haleakalā National Park,319147.00,20936.00,221.00,9508.00,17381.00,26641.00
2020,HAVO,Hawai'i Volcanoes National Park,589775.00,50224.00,552.00,23398.00,43424.00,66516.00
2020,HOSP,Hot Springs National Park,1348215.00,88090.00,1310.00,33858.00,63281.00,114842.00
2020,INDU,Indiana Dunes National Park (National Lakeshore),2293106.00,103047.00,1234.00,53371.00,90347.00,140651.00
2020,ISRO,Isle Royale National Park,6493.00,1104.00,17.00,344.00,622.00,1200.00
